,start,end,text,labels
9978,12852,13011,none major points decided appellate commissioner answered tribunal setting aside order passed appellate commissioner,analysis
17646,33396,33443,could get pulse heart beats usha,analysis
821,22086,22207,must addition assembly assembly must common object object must unlawful,analysis
8591,10794,11104,counsel submits person liable pay tax may found guilty wrongful conduct specified cls b c ordered pay penalty scheme adopted legislature imposing tax liability upon registered firms tax never payable registered firm,analysis
4673,20732,20951,ms kusum dhalla learned app referred evidence pw son deceased cross examination denied suggestion father “ mental ailment since last years ”,analysis
11920,27411,27705,may observed according instructions issued reserve bank time time depositor wants encash fixed deposit receipt maturity bank bound refund amount lesser interest permissible looking time involved,analysis
14821,5597,5656,draw inspiration consecrated principles,analysis
17558,25898,26029,stated examination chief pm harischandra accused called,analysis
4027,3719,3844,p w deposed evidence accused selling liquor verandah accused licence,analysis
20870,5612,5761,stated relevant day duty received telephone call house kidnap grand son,analysis
13992,6437,6569,recovery doe possession appellant wasfound bear human blood group deceased,analysis
334,33361,33486,trial court classified case murder 'rarest rare cases ' awarded death sentence accused nos,analysis
20578,24026,24472,view matter view settled law persuaded hold case court import section b indian evidence act hold accused sumitra mishra pramod panigrahi parents law deceased subjected cruelty harassment connection demand dowry soon death thus liable punishment u b p c,analysis
8052,10877,11290,light rival contentions material record rightly contended learned counsel appellants case prosecution accepted accused employed deadly weapons attack victim indeed assaulted manner claimed injuries suffered complainant would restricted mere abrasions,analysis
28015,23102,23220,said date returned home came know injured manjunatha admitted hospital,analysis
11994,9076,9143,mothers respondent returned petitioner,analysis
11375,23136,23277,fact take analogy indirect taxation logic manner construction better appreciated,analysis
12859,9657,9760,therefore stands reason kerosene oil fact employed clothes set,analysis
20901,10481,11094,thus scrutinising ocular evidence though appears none seen accused taking child house statements clear cogent reliable following facts said well established relevant day accused come quarter pw sector rourkela b pm accused victim child found missing quarter c missing family members searched child accused locality including local shops vain,analysis
864,28991,29107,man reasonable intelligence would known somebody would likely killed melee like,analysis
22887,9996,10503,tile words kania j scheme appears although fact reading provision c proviso transfer revocable law still consider income derived settlement income setlor provided settlement revocable period exceeding six years lifetime person incomes settled income settlor derives direct indirect benefit,analysis
25747,14767,14903,reason judgments ilr karnataka ilr karnataka relied plaintiff use,analysis
3738,10858,11020,b plaintiff produced legible document certified copy sale deed trial court ought rejected ex p illegible,analysis
20482,6506,6632,ext report state forensic science laboratory rasulgarh bhubaneswar regarding viscera sent case,analysis
10601,12198,12279,ii two nos bruise x x another x x left cheek,analysis
12547,9496,9544,opinion contention well founded,analysis
12031,13940,14093,whenever petitioner insisted respondent take house physically assaulted petitioner abused subjected cruelty,analysis
15288,16686,16871,process core composed blocks kept together 'in plate form core outer plies significant classification article block board,analysis
21073,16000,16011,taxmann com,analysis
6001,13803,13964,spite secret marriage insistence succeeded motivating abortion took place clinic kohima october,analysis
15029,23409,23717,situation imperative duty theprosecution explain circumstances became necessary force used customs staff person accused absence explanation reason plea taken face value,analysis
8282,15736,15885,would contend co operative banks may co operative societies co operative societies necessarily co operative banks,analysis
24614,14692,14952,allegations appeal contain information present called meeting representation actually made whether appellants acted basis said representation prejudiced thereby,analysis
11854,13659,14075,hence notice issued petitioner show cause treated assessee default per section x act proceedings taken petitioner society realisation amounts arrears tax due petitioner resorting provision provided sections,analysis
24125,13862,13978,goods validly covered ' c ' forms liable taxed per cent turnover,analysis
10605,12474,12565,p w stated injuries may caused due pressure neck hand,analysis
9088,25064,25188,correctness objections commission supposed look proviso sub section,analysis
27493,2458,2513,amendments section time time,analysis
20825,17918,17976,regard sadly evidence forthcoming,analysis
19663,11431,11537,dr jinturkar deposed examination spine spinal cord found deformity cervical region,analysis
4838,12313,12443,every crime offence society accused committed offence society demands punished,analysis
